Name,Week,Challenge Type,URL,Start Time (EDT),End Time (EDT),Challenge Text,Number of Moments,What You'll Need,Completions,Challenge Payout,Extra Info,short_form
Thursday Night Challenge - Sept. 22,3,Thursday Night,https://nflallday.com/challenges/126b3885-8ab3-41fb-9009-a300a512dd66,2022-09-22 23:00,2022-09-23 15:30,"To complete this Challenge, fans will need to successfully submit a Challenge Entry with the following requirements from Thursday Night Football (4 Total Moments):

- 1 Moment of the player with the longest rush.
- 1 Moment of the player with the most receptions.
- 1 Moment of the defensive player with the most tackles.
- 1 Moment with an ALL DAY Debut badge from the winning team. (Eligible Moments: https://nflallday.com/marketplace/moments?byBadgeSlugs=ALL_DAY_DEBUT&byTeamIDs=5174%252C5182&sortBy=LISTED_DATE_DESC)",4,"[""Nick Chubb - Longest Rusher - Steelers vs Browns"",
""David Njoku - Receptions Leader - Steelers vs Browns"",
""Cameron Heyward - Tackle Leader - Steelers vs Browns"",
""Cleveland Browns ALL DAY Debut Badge - Winning Team - Steelers vs Browns""]",640,15 Yards,"{""Cleveland Browns ALL DAY Debut Badge - Winning Team - Steelers vs Browns"": [""TBD""] }",w03_thursday
Sunday Slate Challenge - Sept. 25,3,Sunday Slate,https://nflallday.com/challenges/580ef42a-fd65-4ae3-99ed-268e5a88e171,2022-09-25 20:00,2022-09-26 12:00,"To complete this Challenge, fans will need to successfully submit a Challenge Entry with the following requirements from the Sunday day games:

- 1 Moment of EACH player who records 300 or more Passing Yards.
- 2 Moments of DL/LB/DB players who record at least 1 Interception or 1 Forced Fumble. (You can use the same player twice. You can use the same Moment twice as long as it's not the same serial number.)

Wildcard 1: Fans may use any Legendary (or higher tier) QB Moment(s) in place of any/all player(s) who records 300 or more Passing Yards. (Eligible Moments: https://nflallday.com/marketplace/moments?byTiers=LEGENDARY%252CULTIMATE&byPlayerPositions=QB&sortBy=LISTED_DATE_DESC)

Wildcard 2: Fans may use any Legendary DL/LB/DB Moment(s) in place of either or all DL/LB/DB requirements. (Eligible Moments: https://nflallday.com/marketplace/moments?byTiers=LEGENDARY&byPlayerPositions=DL%252CDB%252CLB&sortBy=LISTED_DATE_DESC)

*Note: For each wildcard, you can use the same Player twice. You can use a Moment twice as long as it's a different serial number.",8,"[""Josh Allen - 300+ Yard Passer OR Legendary (or higher tier) QB Moment"",
""Jameis Winston - 300+ Yard Passer OR Legendary (or higher tier) QB Moment"",
""Jalen Hurts - 300+ Yard Passer OR Legendary (or higher tier) QB Moment"",
""Mac Jones - 300+ Yard Passer OR Legendary (or higher tier) QB Moment"",
""Derek Carr - 300+ Yard Passer OR Legendary (or higher tier) QB Moment"",
""Kyler Murray - 300+ Yard Passer OR Legendary (or higher tier) QB Moment"",
""Defensive Player Moment - INT or Forced Fumble #1"",
""Defensive Player Moment - INT or Forced Fumble #2""]",3208,25 Yards,"{
    ""Defensive Player Moment - INT of Forced Fumble"":
    [""TBD""],
    ""Lengendary or Higher QB"": [""TBD""],
    ""Legendary DL/LB/DB"": [""TBD""]
}",w03_slate
Sunday Night Challenge - Sept. 25,3,Sunday Night,https://nflallday.com/challenges/b0d818de-35d0-4d1f-b5a0-19d9ec31425b,2022-09-25 23:00,2022-09-26 16:30,"To complete this Challenge, fans will need to successfully submit a Challenge Entry with the following requirements from Sunday Night Football (4 total Moments):

- 1 Moment of the QB with the most Completions.
- 1 Moment of the player with the longest Reception or longest Rush.
- 1 Moment of any player who records at least 1.0 Sacks or 1 Interception. (0.5 sacks is not enough to qualify)*
- 1 Historical Series Moment from the 49ers or Broncos. (Eligible Moments: https://nflallday.com/marketplace/moments?bySeriesFlowIDs=2&byTeamIDs=5158%252C5176)

Wildcard: Fans may use any Rare or Legendary Moment(s) from the 49ers or Broncos in place of any or all requirements. The Moment must be a 49ers or Broncos Moment in ALL DAY. (Eligible Moments: https://nflallday.com/marketplace/moments?byTiers=RARE%252CLEGENDARY&byTeamIDs=5158%252C5176)",4,"[""Russell Wilson - Most Completions"",
""Courtland Sutton or Javonte Williams - Longest Reception OR Longest Rush"",
""Randy Gregory/Bradley Chubb/Nick Bosa - Sack or Interception"",
""Historical Series - 49ers/Broncos""]",4381,15 Yards,"{
    ""Historical Series - 49ers/Broncos"":
    [""TBD""],
    ""Rare/Legendary 49ers/Broncos Moment"": [""TBD""]
}",w03_sunday_night
Monday Night Challenge - Sept. 26,3,Monday Night,https://nflallday.com/challenges/2a4e890f-2cc3-4809-a1ea-05cb6db120e0,2022-09-26 23:30,2022-09-27 12:30,"To complete this Challenge, fans will need to successfully submit a Challenge Entry with the following requirements from Monday Night Football:

- 1 Team attributed Moment from the team with the most First Downs. (Potential Eligible Moments: https://nflallday.com/marketplace/moments?byTeamIDs=5157%252C5170&bySetIDs=df008e43-9652-4b8b-8700-2c0ee1dff8ab%252C9651c86a-2b0c-4d86-b5dd-7a7026e923b7&byPlayTypes=TEAM_MELT%252CBLOCKED_KICK)
- 1 Moment from ANY player with at least 1 rushing attempt or 1.0 or more sacks.
- 1 Moment of EACH and EVERY player who records 100 or more Receiving Yards.*

Wildcard: Fans may use any Legendary (or higher tier) Moment(s) from the Cowboys or Giants in place of any or all requirements. (Eligible Moments: https://nflallday.com/marketplace/moments?byTeamIDs=5157%252C5170&byTiers=LEGENDARY%252CULTIMATE) You may use the same player multiple times as long as they have different serial numbers.",3,"[""Dallas Cowboys - Most Team First Downs"",
""Any Player With 1 or More Rushing Attempts OR 1.0 or More Sacks"",
""CeeDee Lamb, Ezekiel Elliott, Saquon Barkley - Players with 1 or more receptions""]",2806,15 Yards,"{
    ""Any Player With 1 or More Rushing Attempts OR 1.0 or More Sacks"": [
        ""TBD""
    ],
    ""Legendary (or higher tier) Cowboys/Giants Moment."": [
        ""TBD""
    ]
}",w03_monday
End Of Week Challenge - Sept. 26,3,End of Week,https://nflallday.com/challenges/68ccf0f4-5cbb-49b7-a031-08acf6f0ddf2,2022-09-26 23:30,2022-09-27 12:30,"To complete this Challenge, fans will need to successfully submit a Challenge Entry with the following requirements (5 total Moments):

- 1 Moment (any Moment) with an ALL DAY DEBUT Badge from the team that scored the Most Points (including ties) in Week 3.
- 1 Moment from any player who finished in the Top 5 (including ties) in Rushing Attempts in Week 3.
- 1 Moment from any player who finished in the Top 5 (including ties) in Targets in Week 3.
- 1 Moment from any player who finished in the Top 5 (including ties) in Completed Passes in Week 3.
- 1 Moment from any player who recorded 10 or more Total Tackles (Solo + Assists) in Week 3.",5,"[""ALL DAY DEBUT Badge Moment - Team with most Points"",
""Top 5 Rushing Attempts"",
""Top 5 Targets"",
""Top 5 Completed Passes"",
""10 or more Total Tackles""]",5076,15 Yards,"{
    ""ALL DAY DEBUT Badge Moment - Team with most Points"": [
        ""TBD""
    ],
    ""Top 5 Rushing Attempts"": [
        ""TBD""
    ],
    ""Top 5 Targets"": [
        ""TBD""
    ],
    ""Top 5 Completed Passes"": [
        ""TBD""
    ],
    ""10 or more Total Tackles"": [
        ""TBD""
    ]
}",w03_weekly
Thursday Night Challenge - Sept. 29,4,Thursday Night,https://nflallday.com/challenges/25e8c96e-546b-4ddd-925c-1a7a54c40c10,2022-09-29 23:30,2022-09-30 15:30,"To complete this Challenge, fans will need to successfully submit a Challenge Entry with the following requirements from Thursday Night Football (4 Total Moments):

- 1 Moment of the QB with the most Passing Yards.
- 1 Moment of the player with the most Receiving Yards.
- 1 Moment of the player with the most Rushing Yards.
- 1 Team Moment from the winning team. (Valid Team Moments: https://nflallday.com/marketplace/moments?byEditionFlowIDs=722,810,542,581,718)

Wildcard 1: Fans may use any Rare or higher tier Moment of any QB who completes at least 1 pass in this game in place of the QB with the most Passing Yards.

Wildcard 2: Fans may use any Rare or higher tier Moment of any player who records at least 1 reception in this game in place of the player with the most Receiving Yards.

Wildcard 3: Fans may use any Rare or higher tier Moment of any player who records at least 1 rushing attempt in this game in place of the player with the most Rushing Yards.",4,"[""Joe Burrow - Passing Yard Leader OR Wildcard"",
""Tyreek Hill - Receiving Yard Leader OR Wildcard"",
""Joe Mixon - Rushing Yard Leader OR Wildcard"",
""Bengals - Team Moment""]",3131,15 Yards,"{
    ""Rare or higher tier Moment of any QB who completes at least 1 pass in this game"": [
        ""TBD""
    ],
    ""Rare or higher tier Moment of any player who records at least 1 reception in this game"": [
        ""TBD""
    ],
    ""Rare or higher tier Moment of any player who records at least 1 rushing attempt in this game "": [
        ""TBD""
    ]
}",w04_thursday
Sunday Slate Challenge - Oct. 2,4,Sunday Slate,https://nflallday.com/challenges/499b161c-246b-4c3e-9fb5-172559703ba2,2022-10-02 20:00,2022-10-03 15:30,"To complete this Challenge, fans will need to successfully submit a Challenge Entry with the following requirements from the Sunday Day Games:

- 1 Moment of every player who records 100 or more Rushing Yards.
- 1 ALL DAY Debut Moment from the team that scores the most Points (Seattle Seahawks).
- 1 Rookie Mint Moment from the team that records the most Rushing Yards. (New York Giants)
  
Wildcard: Fans may use any Legendary (or higher tier) Moments in place of any or all requirements.",8,"[""Rashaad Penny - 100 or more Rushing Yards OR Wildcard"", ""Saquon Barkley - 100 or more Rushing Yards OR Wildcard"",
""Miles Sanders - 100 or more Rushing Yards OR Wildcard"",
""Nick Chubb - 100 or more Rushing Yards OR Wildcard"",
""Derrick Henry - 100 or more Rushing Yards OR Wildcard"",
""Josh Jacobs - 100 or more Rushing Yards OR Wildcard"",
""Aaron Jones - 100 or more Rushing Yards OR Wildcard"",
""ALL DAY Debut Badge OR Wildcard"",
""Rookie Mint Badge OR Wildcard""]",1957,25 Yards,,w04_slate
Sunday Night Challenge - Oct. 2,4,Sunday Night,https://nflallday.com/challenges/4cce257b-1de9-4ae9-8f09-ed5265aca0c7,2022-10-02 23:30,2022-10-03 15:30,"To complete this Challenge, fans will need to successfully submit a Challenge Entry with the following requirements from Sunday Night Football (2 total Moments):

- 1 Historical Series Moment from the winning team.
- 1 Rare Moment from the team with the most Receiving Yards.

Wildcard: Fans may use any ALL DAY Debut Moment of a QB who completes at least 1 pass in this game in place of any or all slots.",2,"[""Kansas City Chiefs - Historical Series Moment OR Wildcard - Bucs vs Chiefs"",
""Tampa Bay Buccaneers - Rare Moment from the team with the most Receiving Yards OR Wildcard""]",4352,15 Yards,,w04_sunday_night
Monday Night Challenge - Oct. 3,4,Monday Night,https://nflallday.com/challenges/bc2b9db9-e4b9-4e07-bd5b-7771c813feb6,2022-10-03 23:30,2022-10-04 15:30,"To complete this Challenge, fans will need to successfully submit a Challenge Entry with the following requirements from Monday Night Football (4 total Moments):

- 1 Moment of the QB with the most Rushing Yards.
- 1 Moment of ANY RB, WR, or TE who scores a Rushing or Receiving Touchdown.
- 1 Moment of the player with the most Receiving Yards.
- 1 ALL DAY Debut Moment from the winning team. It must be designated as a Rams or 49ers Moment on NFL ALL DAY.

Wildcard: Fans may use any Legendary Rams or 49ers Moment. You may use a Wildcard in each and every slot (1 Wildcard = 1 Slot).",4,"[""Matthew Stafford - QB with the most Rushing Yards OR Wildcard"",
""RB/WR/TE with a Rushing or Receiving Touchdown OR Wildcard"",
""Cooper Kupp - Receiving Yard Leader OR Wildcard"",
""San Francisco 49ers - ALL DAY Debut Badge Moment OR Wildcard""]",4859,15 Yards,,w04_monday
End Of Week Challenge - Oct. 3,4,End of Week,https://nflallday.com/challenges/2ad4418a-df5c-4879-9409-63f9c062af10,2022-10-03 23:30,2022-10-04 15:30,"To complete this Challenge, fans will need to successfully submit a Challenge Entry with the following requirements (5 total Moments):

- 1 Moment of the QB with the most combined Touchdowns (passing + rushing + receiving).
- 1 Moment of the RB with the most combined Touchdowns.
- 1 Moment of the WR with the most combined Touchdowns.
- 1 Moment of the TE with the most combined Touchdowns.
- 1 Moment of a DL/LB/DB with at least 2.0 or more Sacks OR 1 or more Interceptions

Wildcard: Fans may use any Rare or Legendary Moments from players from the team who scored the most Touchdowns in Week 4 (This also includes Team Attributed Moments). You may use a Wildcard in each and every slot (1 Wildcard = 1 Slot). If multiple teams have tied for most Touchdowns in Week 4, fans may use any Rare or Legendary from any tied teams.",5,"[""Jared Goff - QB - Combined Touchdown Leader OR Wildcard"",
""Austin Ekeler - RB - Combined Touchdown Leader OR Wildcard"",
""Mike Evans/Jamal Agnew - WR - Combined Touchdown Leader OR Wildcard"",
""T.J. Hockenson/Mo Alie-Cox - TE - Combined Touchdown Leader OR Wildcard"",
""DL/LB/DB with at least 2.0 or more Sacks OR 1 or more Interceptions OR Wildcard""]",3565,15 Yards,,w04_weekly
Bills @ Ravens - Pregame Challenge - Oct. 2,4,Pregame,https://nflallday.com/challenges/7d4aed2d-fea5-461b-b1ba-c2e481b01d60,2022-09-30 17:00,2022-10-02 13:00,"Fans must submit either 1 Buffalo Bills Moment or 1 Baltimore Ravens Moment prior to 1:00 PM ET on Sunday, October 2nd, 2022.



- If the Bills defeat the Ravens, all fans who submitted 1 Bills Moment will receive 10 yards towards their Week 4 Playbook.
- If the Ravens defeat the Bills, all fans who submitted 1 Ravens Moment will receive 10 yards towards their Week 4 Playbook.
- Fans who submit a Moment from the losing team will not receive any yards towards their Week 4 Playbook.",1,"[""Bills vs Ravens""]",9730,10 Yards,"{
    ""Bills Moments - Winner"": [
        ""TBD""
    ],
    ""Ravens Moments"": [
        ""TBD""
    ]
}",w04_bills_ravens
Rams @ 49ers - Pregame Challenge - Oct. 3,4,Pregame,https://nflallday.com/challenges/2449e610-78e8-46b3-a26e-27d33c15291b,2022-09-30 17:00,2022-10-03 20:15,"Fans must submit either 1 Los Angeles Rams Moment or 1 San Francisco 49ers Moment prior to 8:15 PM ET on Monday, October 3rd, 2022.

- If the Rams defeat the 49ers, all fans who submitted 1 Rams Moment will receive 10 yards towards their Week 4 Playbook.
- If the 49ers defeat the Rams, all fans who submitted 1 49ers Moment will receive 10 yards towards their Week 4 Playbook.
- Fans who submit a Moment from the losing team will not receive any yards towards their Week 4 Playbook.",1,"[""Rams vs 49ers""]",3290,10 Yards,,w04_49ers_rams
Stoppers And Specialists - Level 1,4,Collector,https://nflallday.com/challenges/fa26e04d-6efb-4f57-9451-dfdc8fa6d54e,2022-09-28 14:00,2022-10-03 15:00,"To complete this Challenge, fans will need to successfully submit a Challenge Entry featuring Defense & Special Teams players adhering to the following requirements (4 total Moments):

- 1 Rare (or higher tier) Moment of any Series 1/Historical Series DL.
- 1 Rare (or higher tier) Moment of any Series 1/Historical Series LB.
- 1 Rare (or higher tier) Moment of any Series 1/Historical Series DB.
- 1 Rare (or higher tier) Moment of any Series 1/Historical Series K, P, or Defensive Team Melt.",4,"[""Rare (or higher tier) Moment of any Series 1/Historical Series DL"",
""Lock in 1 Rare (or higher tier) Moment from any Series 1/Historical Series LB on NFL ALL DAY"",
""Rare (or higher tier) Moment of any Series 1/Historical Series DB"",
""Rare (or higher tier) Moment of any Series 1/Historical Series K, P, or Defensive Team Melt""]",3338,1 Series 2 Reward Pack (1 Rare and 2 Common Moments),"{
    ""Rare (or higher tier) Moment of any Series 1/Historical Series DL"": [
        ""TBD""
    ],
    ""Lock in 1 Rare (or higher tier) Moment from any Series 1/Historical Series LB on NFL ALL DAY"": [
        ""TBD""
    ],
    ""Rare (or higher tier) Moment of any Series 1/Historical Series DB"": [
        ""TBD""
    ],
    ""Rare (or higher tier) Moment of any Series 1/Historical Series K, P, or Defensive Team Melt"": [
        ""TBD""
    ]
}",w04_stoppers_1
